cause,effect,sentence,source
crime,death,"In the case of the crime causing the victim’s death, 100% of compensation shall be awarded.",wikipedia_sentence
alcoholism,death,Her cause of death was reported as alcoholism or alcoholic liver disease.,wikipedia_sentence
terrorism,death,"On 11 December 1974 Brian Walden moved a motion declaring that ""the death penalty would neither deter terrorists nor increase the safety of the public""; Jill Knight moved an amendment calling instead for introduction of legislation providing for death to be the penalty for acts of terrorism causing death.",wikipedia_sentence
pollution,health_problems,"Although air pollution problems have been reduced, health problems associated with pollution have continued.",wikipedia_sentence
capitalism,poverty,The major cause of poverty and oppression in the world is capitalism.,wikipedia_sentence
pollution,illness,"In his later years, Warburg was convinced that illness resulted from pollution.",wikipedia_sentence
alcoholism,problems,"The organization also initiated the Rowdy Ridge Gang Camp, a system of summer camps for families recovering from the problems associated with drug use and alcoholism.",wikipedia_sentence
pollution,death,The pollution that is associated with death has to be handled carefully.,wikipedia_sentence
slavery,war,"Lincoln later said that slavery was ""somehow the cause of the war"".",wikipedia_sentence
capitalism,problems,"The major themes include problems associated with capitalism, a proposed socialist solution of a nationalization of all industry, and the use of an ""industrial army"" to organize production and distribution, as well as how to ensure free cultural production under such conditions.",wikipedia_sentence
pollution,problems,He also noted and highlighted the problems caused by pollution and the damage caused to properties beside roads favoured by heavy goods vehicles.,wikipedia_sentence
capitalism,war,"However, in response to such writers in the 1930s who argued that capitalism caused war, the economist John Maynard Keynes (1883-1946) argued that managed capitalism could promote peace.",wikipedia_sentence
pollution,decline,"The scientists stated that the decline was a result of overfishing, pollution and other environmental factors that were reducing the population of fisheries at the same time as their ecosystems were being degraded.",wikipedia_sentence
alcoholism,cirrhosis_of_the_liver,"William Roche, Mazo's father, died in 1915 of cirrhosis of the liver brought on by alcoholism.",wikipedia_sentence
pollution,disease,"Nigel's partner, Alexandria, dies from systemic lupus erythematosus, a disease caused by pollution.",wikipedia_sentence
pollution,asthma,"""Exhausted at School"" – Several INN members used mapping software to pinpoint schools that are located very close to major highways, potentially putting schoolchildren at risk of asthma and higher absenteeism rates caused by pollution.",wikipedia_sentence
pollution,deaths,"He criticised the company for the environmental impact of the mine, in particular due to waste dumping in the Fly River and spoke about deaths caused by pollution.",wikipedia_sentence
terrorism,fear,"From the perspective of modern theories of international relations, Quester suggests that, ""Perhaps terrorism produced a fear that immobilized and incapacitated the forces that would have resisted.""",wikipedia_sentence
slavery,civil_war,"Several resolutions were notable as they specified that the cause of the Civil War was slavery, called for slavery's eradication from the union, called for the complete destruction of the Confederacy, opened military enlistment to freed slaves, adopted the Emancipation Proclamation, and supported an increase in foreign immigration and asylum as just policy.",wikipedia_sentence
capitalism,exploitation,"Cochrane then draws upon the work of Catherine Perlow and Barbara Noske, who have argued that animals may represent an exploited group in a Marxist sense, but he is critical of the argument that this exploitation is caused by capitalism and that overthrowing capitalism would be a necessary step for achieving justice.",wikipedia_sentence
crime,imprisonment,"London criminal Jack McVitie is murdered by the Kray twins, a crime that eventually leads to their imprisonment and downfall.",wikipedia_sentence
pollution,damage,"Later, smallmouth populations also began to decline after years of damage caused by overdevelopment and pollution, as well as a loss of river habitat caused by damming many formerly wild rivers to form lakes or reservoirs.",wikipedia_sentence
alcoholism,liver_disease,"Clark died later that year of heart failure, and on December 19, 1993, Clarke succumbed to liver disease brought on by alcoholism.",wikipedia_sentence
crime,crime,"Firstly, CPTED professionals see the causes of crime one-dimensionally because of the use of language such as certainty as opposed to probability when predicting crime, which results in crime being caused by poorly designed environments.",wikipedia_sentence
alcoholism,health_problems,Sullivan died on 15 February 1933 in New York City at age 47  from health problems brought on by alcoholism and pneumonia.,wikipedia_sentence
slavery,american_civil_war,"A Democrat, he was a Unionist and his contemporaries considered him to be a moderate on the issues of sectionalism, slavery and westward expansion, which contributed to the American Civil War.",wikipedia_sentence
