Essay,Evaluation question,Annotator 1,Annotator 2,Annotator 3
Essay 1,Please evaluate the degree of factuality of the essay,High,High,High
Essay 1,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,concrete negative effects and statistics are given,The essay makes several factual claims that are widely accepted and supported by these evidences.,Facts look good and verifiable
Essay 1,Please evaluate the degree of coherence of the essay,Moderate,High,Low
Essay 1,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,,The essay is coherent with logically structured sentences,Opposite stance assumed once. But mostly cons. 
Essay 1,Please evaluate the degree of organization of the essay,Low,High,Low
Essay 1,Briefly explain your evaluation.,,"it has clear introduce, body paragraphs and conclusion.","Pros, cons, and claim were not separated in different paragraphs. Conclusion deviates from reasserting the stance to treating alcoholics' issues. "
Essay 1,Please evaluate the degree of persuasiveness of the essay,Moderate,High,Moderate
Essay 1,"Briefly explain your evaluation. If you are convinced, mention the statements that persuaded you. If you are not convinced at all, please include the statements which contributed to this.",,The essay presents strong arguments that would likely persuade most of people.,Banning alcohol might be problematic as illegal crimes associated with alcohol would increase as stated in the essay. So this is more like a pro rather than a con.  
,,,,
Essay 2,Please evaluate the degree of factuality of the essay,High,Moderate,Moderate
Essay 2,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,The essay gives concrete effects for alcoholism on women mainly. Concrete statistics are given for a comparison against men and economical impact,"""Despite the numerous effects that alcoholism has had on women, prohibitionist policies have been successful in reducing the prevalence of alcohol abuse and addiction significantly. "" 
The claim that prohibitionist policies have been largely successful in reducing alcohol abuse and addiction lacks specific evidence and is controversial.",US once banned alcohols but at the end alcoholism is still out of control  
Essay 2,Please evaluate the degree of coherence of the essay,High,Moderate,Moderate
Essay 2,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,,"The second paragraph introduces the effects of alcoholism on women abruptly, without a clear connection to the previous discussion.","No opposite stance assumed. First sentence in the last paragraph sounds off, because the two clauses does not seem to correlate with each other"
Essay 2,Please evaluate the degree of organization of the essay,Moderate,Moderate,Low
Essay 2,Briefly explain your evaluation.,I do not see what is the main claim of the essay,"The essay has recognizable paragraphs, but the structure could be more refined to improve clarity and flow.",The conclusion seems to deviate from being against alcohol to being against prostitution. 
Essay 2,Please evaluate the degree of persuasiveness of the essay,Moderate,Moderate,High
Essay 2,"Briefly explain your evaluation. If you are convinced, mention the statements that persuaded you. If you are not convinced at all, please include the statements which contributed to this.","The essay focus on women, I wounder whether a male essay will find the essay as convincing.","The claim about the success of prohibitionist policies is not well-supported and weakens the argument. For example, the prohibition of alcohol in the United States in the last century was highly controversial.",Alcoholism is bad because of the increase in domestic violence against women
,,,,
Essay 3,Please evaluate the degree of factuality of the essay,Low,High,High
Essay 3,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,"essay does not bring factual evidence for the claim

""Alcoholism is a complex and potentially dangerous condition that can have a devastating impact on an individual's life, health, relationships, and career. ""

and simply talks about treatment",The essay presents statements that are generally accepted and supported by evidences.,The way out of alcoholism seems reasonable to me. 
Essay 3,Please evaluate the degree of coherence of the essay,High,High,Low
Essay 3,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,,"The essay logically presents its arguments, making it easy to follow and understand.",Treatment of alcoholism seems to be addressed and no arguments about the bad effects of alcoholism can be found
Essay 3,Please evaluate the degree of organization of the essay,Low,High,Low
Essay 3,Briefly explain your evaluation.,,The essay is well-organized with a clear structure,First paragraph has too many ideas. Main claim not introduced well. 
Essay 3,Please evaluate the degree of persuasiveness of the essay,Low,Moderate,Low
Essay 3,"Briefly explain your evaluation. If you are convinced, mention the statements that persuaded you. If you are not convinced at all, please include the statements which contributed to this.",,"The essay could be more persuasive with additional statistics, case studies, or more detailed explanations of the treatment components. ",The treatments and not the arguments were discussed 
,,,,
Essay 4,Please evaluate the degree of factuality of the essay,Moderate,High,Moderate
Essay 4,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,"While I believe in the claims and the premise used, no factual evidence is provided.","These statements are widely accepted, so factuality high.",Low interest rates might bring low inflation but also stagnating economy like in Japan's case
Essay 4,Please evaluate the degree of coherence of the essay,High,High,High
Essay 4,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,,The essay is coherent with logical sentence structure,Only the pros of this institution were discussed. The sentence and paragraph order here seem to make sense  
Essay 4,Please evaluate the degree of organization of the essay,High,High,Moderate
