Essay,Evaluation question,Annotator 3,Annotator 4,Annotator 1,Annotator 2
Essay 1,Please evaluate the degree of factuality of the essay.,High,High,High,High
Essay 1,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,The claims are verifiable and the arguments are acceptable. ,The claims are verifiable and the arguments are acceptable. ,The claims are verifiable and the arguments are acceptable. ,The claims are verifiable and the arguments are acceptable. 
Essay 1,Please evaluate the degree of coherence of the essay.,Moderate,Moderate,Moderate,Moderate
Essay 1,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,"The arguments could be structured in a more understandable manner. The connection between students finishing their homework and feeling pride is not understandable. However, the essay can be understood in general.","The arguments could be structured in a more understandable manner. The connection between students finishing their homework and feeling pride is not understandable. However, the essay can be understood in general.","The arguments could be structured in a more understandable manner. The connection between students finishing their homework and feeling pride is not understandable. However, the essay can be understood in general.","The arguments could be structured in a more understandable manner. The connection between students finishing their homework and feeling pride is not understandable. However, the essay can be understood in general."
Essay 1,Please evaluate the degree of organization of the essay.,Low,Low,Low,Low
Essay 1,Briefly explain your evaluation.,"There is no clear structure to be seen. Introduction, Body and Conclusion are merged into one paragraph.","There is no clear structure to be seen. Introduction, Body and Conclusion are merged into one paragraph.","There is no clear structure to be seen. Introduction, Body and Conclusion are merged into one paragraph.","There is no clear structure to be seen. Introduction, Body and Conclusion are merged into one paragraph."
,,,,,
Essay 2,Please evaluate the degree of factuality of the essay.,High,High,High,High
Essay 2,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,Claims about health and societal problems stemming from alcohol and tobacco can be accepted by majority of population.,Looks good,It sounds factual that tobacco and alcohol abuse can cause problems as described.,The essay supported by well-established facts and evidence.
Essay 2,"Please evaluate the degree of coherence of the essay.

",High,Moderate,High,Moderate
Essay 2,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,"Essay has clear introduction, middle part and conclusion that all work to support the main claim.",Conclusion deviate from topic. Violence and crime off-topic,Looks very coherent,"The paragraph discussing the relative harmfulness of alcohol compared to tobacco could be better integrated with the rest of the essay, as it seems somewhat disjointed."
Essay 2,"Please evaluate the degree of organization of the essay.


 ",High,High,High,Moderate
Essay 2,Briefly explain your evaluation.,Essays structure is clearly distinguishable and logically understandable.,,very organized,"Each paragraph introduces multiple points, which could be better organized into separate paragraphs focusing on specific aspects such as health impacts, social impacts, and economic costs."
,,,,,
Essay 3,Please evaluate the degree of factuality of the essay.,High,High,High,High
Essay 3,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,Claims of the essay can be accepted by most people.,Looks good,the arguments sound verifiable,"I think the article provides accurate, verifiable information on the health effects of tobacco and alcohol."
Essay 3,Please evaluate the degree of coherence of the essay.,High,Moderate,High,High
Essay 3,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,All paragraphs are constructed logically and support the main claim.," ""It is important to be aware of the risks associated with their use, and to take the necessary precautions to stay safe."" unnecessary in concusion. Arguments on why they are addicting missing. ",,
Essay 3,Please evaluate the degree of organization of the essay.,High,High,High,High
Essay 3,Briefly explain your evaluation.,"Essay has clear beginning, middle part and ending.",,,
,,,,,
Essay 4,Please evaluate the degree of factuality of the essay.,High,High,High,High
Essay 4,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,Claims made in the essay are supported by arguments that can be supported by majority of people.,Looks good,Sounds very reasonable to me,"The essay provides factual and verifiable information about the physical, mental, and social problems caused by tobacco and alcohol use."
Essay 4,Please evaluate the degree of coherence of the essay.,High,Moderate,High,High
Essay 4,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,Essay has clear logical structure of its paragraphs.,Intro fail to convey main message clearly. second last paragraph about social repercussions (off topic),,
Essay 4,Please evaluate the degree of organization of the essay.,High,High,High,High
Essay 4,Briefly explain your evaluation.,"Essay has clear beginning, middle part and end that work to support the main claim.",,,
,,,,,
Essay 5,Please evaluate the degree of factuality of the essay.,High,High,Moderate,Moderate
Essay 5,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,Essay uses facts that can be accepted by majority of population and statistics to support its main claim.,Looks good,"""45 million Americans having an alcohol use disorder"" sounds too high to be true","Some statements lacked specific statistical support or accurate references. For example, the statements ""Tobacco abuse kills more than 6 million people each year"" and ""Alcohol abuse leads to alcohol use disorders in as many as 45 million Americans"" are influential, but need to be cited to enhance their credibility."
Essay 5,Please evaluate the degree of coherence of the essay.,High,Low,High,Moderate
Essay 5,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,Essay is well structured in its arguments and all claims support the main claim of the essay.,"2nd paragraph more like repeating intro. 

""Beyond the individual users, the consequences of tobacco and alcohol abuse extend beyond immediate damages. Tobacco and alcohol abuse have serious consequences that ripple outward to friends and family, cost communities, and affect societies and nations"" not exactly on-topic

Conclusion off-topic a bit. ",,"Some sentences are repetitive, and the same points are reiterated without adding new information, which affects the coherence.
"
Essay 5,Please evaluate the degree of organization of the essay.,Moderate,Moderate,High,High
Essay 5,Briefly explain your evaluation.,Essay can benefit from splitting big middle paragraphs into smaller ones.,Intro has arguments. 3rd paragraph needs restructuring. ,,
,,,,,
Essay 6,Please evaluate the degree of factuality of the essay.,High,High,High,High
Essay 6,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,Claims made by the essay can be accepted and support the main claim.,Looks good,Sounds very reasonable,the statements made are factual and supported by existing scientific and medical evidence.
Essay 6,Please evaluate the degree of coherence of the essay.,High,Moderate,High,High
Essay 6,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,Arguments in essay flow in logical order and support the main claim.,"Off-topic to discuss crime aspects of these drugs. Same for social problems. ""As such, it is important to be mindful of the risks associated with their use. By understanding the potential risks associated with tobacco and alcohol, individuals can make informed decisions about their use."" unnecessary in conclusion. ",,
Essay 6,Please evaluate the degree of organization of the essay.,High,High,High,High
Essay 6,Briefly explain your evaluation.,"Essay has clear introduction, middle part and conclusion. Each paragraph stays only on one topic.",,,
,,,,,
Essay 7,Please evaluate the degree of factuality of the essay.,Moderate,Moderate,Moderate,Moderate
Essay 7,Briefly explain your evaluation. Please include the statements that you find unacceptable or unverifiable.,Author does not provide evidence of why increasing the fuel prices will decrease personal car usage specifically or how would increase in fuel prices will influence the economy overall.,Car drivers may accept price increase. Cars might be the only way to travel. ,"Doesn't sound convincing that ""resulting in less road congestion and less wear and tear on the streets""",Some of the points made in the article are not given appropriate scientific support. It would have been more convincing if scientific data and experiments had been given.
Essay 7,Please evaluate the degree of coherence of the essay.,High,High,Moderate,High
Essay 7,Briefly explain your evaluation. Please include the terms that you think were used interchangeably with for the same concepts or include the statements which were not logically structured.,Essay has good logical structure in its arguments and all arguments support the main claim.,,,
Essay 7,Please evaluate the degree of organization of the essay.,Low,Low,Low,Moderate
Essay 7,Briefly explain your evaluation.,Essay does not have paragraph structure at all.,No structure,,The essay is not clearly segmented.
,,,,,
Essay 8,Please evaluate the degree of factuality of the essay.,High,High,High,Moderate
