Prediction,Labels,BleuScore
a well-struck shot can cause a higher number of points on a golf course,well-struck shot causes golf,0.03342866121562732
"the impact of a well-struck shot can vary depending on the circumstances, but it can result in lower scores, increased distance, and improved accuracy",well-struck shot results in golf,0.01851974703879588
a well-struck shot can produce a high accuracy and long distance,well-struck shot causes golf,0.03986357128268015
a well-struck shot can lead to a successful outcome,well-struck shot leads to golf,0.056122223243057295
"golf is typically associated with affluence, leisure time, and a competitive spirit",the factors associated with golf are well-struck shot,0.03986357128268015
a well-struck shot usually results in a good player being rewarded with a successful shot,due to well-struck shot golf is caused,0.027952555963587523
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
yes,yes,0.1778279410038923
"golf is caused by the movement of a small, hard ball into a series of holes with the fewest number of swings and strokes",golf is caused by well-struck shot,0.09849349468888721
a well-struck shot can cause a golf ball to fly in a straight line,golf,0.01428363257865929
"wealth inequality can lead to increased economic disparities, reduced social mobility, and worsened health and educational outcomes",wealth inequality causes occupy wall street,0.02432542569851428
"wealth inequality impacts economic growth, financial stability, political engagement, and social cohesion",wealth inequality results in occupy wall street,0.03602080288207364
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities",wealth inequality causes occupy wall street,0.016734480530603443
"wealth inequality leads to a concentration of power and resources in the hands of a few, while leaving many others in poverty and lacking access to essential resources",wealth inequality leads to occupy wall street,0.08359764098433711
"the factors associated with occupy wall street include social and economic inequalities, increased levels of student debt, and the lack of available jobs",the factors associated with occupy wall street are wealth inequality,0.250737833894674
"wealth inequality leads to a situation where the wealthy have access to more resources than the poor, resulting in an unequal distribution of wealth and power",due to wealth inequality occupy wall street is caused,0.01700463072175106
yes,yes,0.1778279410038923
no,yes,0
yes wealth inequality fuels the grievances of the 99% who feel unfairly denied access to the resources that would allow them to participate in the economy and enjoy a better quality of life,yes,0.005648892151960285
"occupy wall street is caused by the growing inequality of wealth and power in the united states, and the financial crisis which has led to massive unemployment and a lack of access to basic resources for many",occupy wall street is caused by wealth inequality,0.13191601177632875
