Prediction,Labels,BleuScore
a well-struck shot can cause a higher number of points on a golf course,well-struck shot causes golf,0.3504217300872071
"a well-struck shot can have a large impact on the outcome of a golf game, as it can reduce the number of strokes needed to complete the hole",well-struck shot results in golf,0.1640146735117775
a well-struck shot can produce a high accuracy and long distance,well-struck shot causes golf,0.30226869936480927
a well-struck shot can lead to a successful golf game,well-struck shot leads to golf,0.47373641100990993
"golf is often associated with wealth, privilege, and a high social class",the factors associated with golf are well-struck shot,0.3483507074331072
a well-struck shot usually results in a good player being rewarded with a successful shot,due to well-struck shot golf is caused,0.248336357975904
yes,yes,1.0
yes,yes,1.0
yes,yes,1.0
"golf is caused by the movement of a small, hard ball into a series of holes with the fewest number of swings and strokes",golf is caused by well-struck shot,0.17753187136259493
a well-struck shot can cause a golf ball to fly in a straight line,golf,0.03432087539530957
"wealth inequality can lead to disparities in access to resources, privilege, and power, as well as economic, political, and social struggles",wealth inequality causes occupy wall street,0.19830674355226727
"wealth inequality impacts economic growth, financial stability, political engagement, and social cohesion",wealth inequality results in occupy wall street,0.23686860227609668
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities",wealth inequality causes occupy wall street,0.16321177474021237
"wealth inequality can lead to concentrated power and corruption, as the wealthy have more resources to exert influence",wealth inequality leads to occupy wall street,0.23720929222405515
"the factors associated with occupy wall street include social and economic inequalities, increased levels of student debt, and the lack of available jobs",the factors associated with occupy wall street are wealth inequality,0.37912214057609056
"wealth inequality leads to a situation where the wealthy have access to more resources than the poor, resulting in an unequal distribution of wealth and power",due to wealth inequality occupy wall street is caused,0.18228451351934696
yes,yes,1.0
no,yes,0
yes wealth inequality fuels the grievances of the 99% who feel unfairly denied access to the resources that would allow them to participate in the economy and enjoy a better quality of life,yes,0.009665626226749588
"the occupy wall street movement was caused by a range of factors, including economic inequality, high unemployment, and a lack of access to basic resources",occupy wall street is caused by wealth inequality,0.2591333948181455
wealth inequality causes a) privacy invasion,occupy wall street,0.018232115162898983
"political corruption can lead to a destabilization of a country's politics, increase the level of inequality within a society, and hinder economic growth",political corruption causes occupy wall street,0.19285346487157742
"political corruption can have numerous negative impacts, such as undermining faith in democracy, impeding economic growth, and enabling abuse of power",political corruption results in occupy wall street,0.18383952462376124
"political corruption can have a wide range of effects, from undermining public trust in government to allowing special interests to purchase favorable legislation",political corruption causes occupy wall street,0.17977065850754204
"political corruption can lead to a lack of trust in government, the erosion of democracy, and the misuse of public funds",political corruption leads to occupy wall street,0.25450927412005814
"the factors associated with occupy wall street include economic inequality, corporate greed and the need for economic reform",the factors associated with occupy wall street are political corruption,0.44424949908131284
"political corruption can lead to a lack of trust in government, unauthorized use of public funds, and unethical decision-making",due to political corruption occupy wall street is caused,0.25103146314491315
no,yes,0
no,yes,0
no,yes,0
occupy wall street is caused by growing income inequality and the financial crisis,occupy wall street is caused by political corruption,0.4547306861705543
answer to question c) occupy wall street,occupy wall street,0.4277654332331523
corporate influence on government can lead to favorable policy decisions beneficial to the corporation at the expense of the public interest,corporate influence of government causes occupy wall street,0.28897825822495493
"corporate influence on government can lead to laws and regulations that favor corporate interests, as well as the privatization of public resources and services",corporate influence of government results in occupy wall street,0.26625857629044747
"corporate influence of government can result in favorable legislation and regulations for businesses, as well as the manipulation of public policy for their own gain",corporate influence of government causes occupy wall street,0.2577582880957763
"corporate influence of government can lead to unequal distribution of resources, corruption, and favoritism",corporate influence of government leads to occupy wall street,0.41064734658434754
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living",the factors associated with occupy wall street are corporate influence of government,0.4950724423917364
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits",due to corporate influence of government occupy wall street is caused,0.2689286989205912
yes,yes,1.0
"no, corporate influence of government does not lead to occupy wall street",yes,0.009298277783788557
yes,yes,1.0
"occupy wall street was caused by a number of underlying factors, including economic inequality, corruption, and a lack of representation",occupy wall street is caused by corporate influence of government,0.29758447404358923
corporate influence of government causes a) digital addiction,occupy wall street,0.01264291511067447
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health",intense or unbridled sexual desire causes fornication,0.324811911570051
"intense or unbridled sexual desire can impact a person's physical, mental, and emotional well-being",intense or unbridled sexual desire results in fornication,0.41801667322743086
unbridled sexual desire can lead to impulsive and reckless decisions that can have lasting consequences,intense or unbridled sexual desire causes fornication,0.32112829870801823
unbridled sexual desire can lead to impulsive decisions and risky behavior,intense or unbridled sexual desire leads to fornication,0.46062647312022786
"fornication is commonly associated with a lack of commitment, religious or cultural factors, peer pressure, and the availability of partners",the factors associated with fornication are intense or unbridled sexual desire,0.3271044619411718
intense or unbridled sexual desire can lead to impulsive decisions and risk-taking behavior,due to intense or unbridled sexual desire fornication is caused,0.490211399821905
yes,yes,1.0
yes,yes,1.0
yes,yes,1.0
fornication is caused by the desire for sexual pleasure without the commitment of marriage,fornication is caused by intense or unbridled sexual desire,0.4553552967743867
b) social media manipulation,fornication,0.1531024544118244
"general aquaviva can have a variety of effects, ranging from a warm and fuzzy feeling to a more intense sensation of euphoria",general aquaviva causes fornication,0.19183527914457432
general aquaviva had a strong impact on the development of the society of jesus and its missionary activities,general aquaviva results in fornication,0.20711727093947965
general aquaviva effects the muscle contractions and relaxation in the body,general aquaviva causes fornication,0.29857951421643464
general aquaviva leads to a healthier and more relaxed lifestyle,general aquaviva leads to fornication,0.4229483389595074
"fornication is associated with a variety of factors, including sexual promiscuity, low levels of religious or spiritual beliefs, high levels of stress, and easy access to sexual partners",the factors associated with fornication are general aquaviva,0.2180203154841311
"general aquaviva causes an increase in atmospheric pressure, leading to heavy rainfall",due to general aquaviva fornication is caused,0.31641170081340736
"can fornication cause general aquaviva? 
no",yes,0.006464120807214109
no,yes,0
no,yes,0
fornication is caused by engaging in sexual activity outside of marriage,fornication is caused by general aquaviva,0.4128916627436948
a) space debris,fornication,0.018693000799960027
"viewing pornography can lead to negative impacts on an individual's mental and physical health, interpersonal relationships, and social functioning",viewing pornography causes fornication,0.18922724905296365
