Prediction,Labels,BertScore
a well-struck shot can cause a higher number of points on a golf course.                                ,well-struck shot causes golf,0.322
"a well-struck shot can have a large impact on the outcome of a golf game, as it can reduce the number of strokes needed to complete the hole.                                  ",well-struck shot results in golf,0.167
a well-struck shot can produce a high accuracy and long distance.              ,well-struck shot causes golf,0.282
a well-struck shot can lead to a successful golf game.            ,well-struck shot leads to golf,0.509
"golf is typically associated with affluence, leisure time, and a competitive spirit.      ",The factors associated with golf are well-struck shot,0.137
a well-struck shot usually results in a good player being rewarded with a successful shot.                            ,Due to well-struck shot golf is caused,0.241
no                  ,Yes,0.996
no  ,Yes,0.996
yes  ,Yes,0.976
"golf is caused by the movement of a small, hard ball into a series of holes with the fewest number of swings and strokes.                          ",golf is caused by well-struck shot,0.197
a) algorithm bias                            ,golf,-0.04
"wealth inequality leads to disparities in access to resources and opportunities, creating a divide between the wealthy and the poor.            ",wealth inequality causes occupy wall street,0.137
"wealth inequality has a significant impact on economic stability, social mobility, and economic growth.                                ",wealth inequality results in occupy wall street,0.221
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities.            ",wealth inequality causes occupy wall street,0.064
"wealth inequality can lead to concentrated power and corruption, as the wealthy have more resources to exert influence.                    ",wealth inequality leads to occupy wall street,0.167
"the factors associated with occupy wall street include social and economic inequalities, increased levels of student debt, and the lack of available jobs.        ",The factors associated with occupy wall street are wealth inequality,0.454
"wealth inequality leads to a situation where the wealthy have access to more resources than the poor, resulting in an unequal distribution of wealth and power.            ",Due to wealth inequality occupy wall street is caused,0.039
no,Yes,0.996
no  ,Yes,0.996
no                                                                                        ,Yes,0.996
"occupy wall street was caused by a combination of economic hardship, political disillusionment, and a desire to create positive social change.                          ",occupy wall street is caused by wealth inequality,0.302
wealth inequality causes a) privacy invasion.                                                            ,occupy wall street,-0.05
"political corruption can lead to a destabilization of a country's politics, increase the level of inequality within a society, and hinder economic growth.                    ",political corruption causes occupy wall street,-0.01
"political corruption can have a wide range of impacts, such as undermining citizen trust in government, facilitating illegal activities, and weakening the economy.                            ",political corruption results in occupy wall street,0.061
