Prediction,Labels,RougeScore
a well-struck shot can cause a higher number of points on a golf course,well-struck shot causes golf,0.3333333333333333
"a well-struck shot can have a major impact on the game, including increasing the probability of a successful putt, reducing the number of strokes needed to complete the hole, and increasing the overall accuracy of the golfer's shots",well-struck shot results in golf,0.25
a well-struck shot typicallyresults in a higher percentage of success for the player,well-struck shot causes golf,0.3333333333333333
a well-struck shot can lead to a successful outcome,well-struck shot leads to golf,0.25
"golf is typically associated with affluence, leisure time, and a competitive spirit",the factors associated with golf are well-struck shot,0.14285714285714285
a well-struck shot usually results in a good player being rewarded with a successful shot,due to well-struck shot golf is caused,0.16666666666666666
can golf cause a well-struck shot?,yes,0.0
yes,yes,0.0
yes,yes,0.0
"golf is caused by the striking of a small ball with a club in order to move it along the ground, in an effort to progress through a course and complete the hole in the lowest number of strokes",golf is caused by well-struck shot,0.6
a) algorithm bias,golf,0.0
"wealth inequality leads to disparities in access to resources and opportunities, creating a divide between the wealthy and the poor",wealth inequality causes occupy wall street,0.2
"wealth inequality has a number of negative impacts, including increasing economic disparities, limited access to resources and opportunities, and an unequal distribution of power",wealth inequality results in occupy wall street,0.16666666666666666
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities",wealth inequality causes occupy wall street,0.2
"wealth inequality leads to a concentration of power and resources in the hands of a few, while leaving many others in poverty and lacking access to essential resources",wealth inequality leads to occupy wall street,0.5
"the factors associated with occupy wall street include social and economic inequity, rising tuition costs, and the lack of accountability from major financial institutions",the factors associated with occupy wall street are wealth inequality,0.6666666666666666
"wealth inequality leads to a situation where the wealthy have access to more resources than the poor, resulting in an unequal distribution of wealth and power",due to wealth inequality occupy wall street is caused,0.125
yes,yes,0.0
no,yes,0.0
no,yes,0.0
"occupy wall street is caused by the growing inequality of wealth and power in the united states, and the financial crisis which has led to massive unemployment and a lack of access to basic resources for many",occupy wall street is caused by wealth inequality,0.7142857142857143
"wealth inequality leads to economic disparity, which encourages some individuals and corporations to seek more illicit methods to accumulate wealth, such as tax evasion and bribery",occupy wall street,0.0
"political corruption can have wide-ranging effects, including distorted policy making, the siphoning of resources from the public to the private sector, and the inhibition of free and fair elections",political corruption causes occupy wall street,0.2
"political corruption can have numerous negative impacts, such as undermining faith in democracy, impeding economic growth, and enabling abuse of power",political corruption results in occupy wall street,0.16666666666666666
"political corruption has the effect of undermining public trust in governments and political institutions, thereby weakening democracies and the rule of law",political corruption causes occupy wall street,0.2
"political corruption can lead to a lack of faith in democratic institutions, widespread poverty and inequality, and the erosion of civil society",political corruption leads to occupy wall street,0.16666666666666666
"the factors associated with occupy wall street included economic inequality, unemployment, and a lack of access to basic resources",the factors associated with occupy wall street are political corruption,0.6666666666666666
"political corruption can lead to unethical manipulation of power, money and resources for personal gain, resulting in a lack of trust in government and an erosion of public confidence in the political system",due to political corruption occupy wall street is caused,0.125
no,yes,0.0
no,yes,0.0
no,yes,0.0
occupy wall street is caused by economic inequality and the lack of access to vital resources for many americans,occupy wall street is caused by political corruption,0.7142857142857143
answer to question c) occupy wall street,occupy wall street,1.0
"corporate influence on government can result in legislation that favors the corporation, such as laws that restrict competition or reduce consumer protection",corporate influence of government causes occupy wall street,0.14285714285714285
"corporate influence of government can lead to greater economic efficiency, improved regulation, and increased access to essential services, but it can also lead to capture of the government by powerful business interests and an erosion of democratic principles",corporate influence of government results in occupy wall street,0.375
"corporate influence of government can result in favorable legislation and regulations for businesses, as well as the manipulation of public policy for their own gain",corporate influence of government causes occupy wall street,0.42857142857142855
corporate influence of government leads to increased profitability for corporations and decreased access to resources and protection for the public,corporate influence of government leads to occupy wall street,0.625
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living",the factors associated with occupy wall street are corporate influence of government,0.5454545454545454
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits",due to corporate influence of government occupy wall street is caused,0.1
yes,yes,0.0
no,yes,0.0
no,yes,0.0
"occupy wall street was caused by a variety of factors, including economic inequality, rising unemployment, and a lack of faith in the political system",occupy wall street is caused by corporate influence of government,0.3333333333333333
corporate influence of government can cause a) digital addiction,occupy wall street,0.0
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health",intense or unbridled sexual desire causes fornication,0.6666666666666666
"intense or unbridled sexual desire can have a negative impact on relationships and mental wellbeing, leading to unhealthy coping mechanisms and compulsive behaviors",intense or unbridled sexual desire results in fornication,0.5714285714285714
"intense or unbridled sexual desire can have a powerful effect on the individual, causing them to act impulsively and pursue pleasure irrespective of the consequences",intense or unbridled sexual desire causes fornication,0.6666666666666666
intense or unbridled sexual desire can lead to impulsive decisions and acts that are not in line with one's true desires or well-being,intense or unbridled sexual desire leads to fornication,0.5714285714285714
"the factors associated with fornication include lack of proper sexual education, low levels of religious observance, high levels of stress, and easy access to partner(s)",the factors associated with fornication are intense or unbridled sexual desire,0.4
intense or unbridled sexual desire can lead to impulsive decisions and behaviors that can have long-term consequences,due to intense or unbridled sexual desire fornication is caused,0.4444444444444444
yes,yes,0.0
no,yes,0.0
no,yes,0.0
fornication is caused by the desire for sexual pleasure without the commitment of marriage,fornication is caused by intense or unbridled sexual desire,0.375
a) energy crisis,fornication,0.0
"general aquaviva has various effects, such as increasing concentration and alertness, improving cognitive functions, and providing energy",general aquaviva causes fornication,0.3333333333333333
"general aquaviva has had a significant impact on the development of the society of jesus, leading the order to become one of the most influential religious organizations in the world",general aquaviva results in fornication,0.25
