Prediction,Labels,RougeScore
a well-struck shot can cause a higher number of points on a golf course,well-struck shot causes golf,0.3749999962500001
"a well-struck shot can have a large impact on the outcome of a golf game, as it can reduce the number of strokes needed to complete the hole",well-struck shot results in golf,0.22222221920438956
a well-struck shot can produce a high accuracy and long distance,well-struck shot causes golf,0.2857142816326531
a well-struck shot can lead to a successful golf game,well-struck shot leads to golf,0.5714285668367348
"golf is typically associated with affluence, leisure time, and a competitive spirit",the factors associated with golf are well-struck shot,0.1999999952000001
a well-struck shot usually results in a good player being rewarded with a successful shot,due to well-struck shot golf is caused,0.2105263111357342
yes,yes,0.999999995
yes,yes,0.999999995
yes,yes,0.999999995
"golf is caused by the movement of a small, hard ball into a series of holes with the fewest number of swings and strokes",golf is caused by well-struck shot,0.3076923041420118
a well-struck shot can cause a golf ball to fly in a straight line,golf,0.15384615242603553
"wealth inequality can lead to increased economic disparities, reduced social mobility, and worsened health and educational outcomes",wealth inequality causes occupy wall street,0.18181817785123974
"wealth inequality impacts economic growth, financial stability, political engagement, and social cohesion",wealth inequality results in occupy wall street,0.2105263111357342
"wealth inequality has the effect of creating a large gap between the wealthy and the poor, leading to unequal access to resources and opportunities",wealth inequality causes occupy wall street,0.15384615029585808
"wealth inequality leads to a concentration of power and resources in the hands of a few, while leaving many others in poverty and lacking access to essential resources",wealth inequality leads to occupy wall street,0.27586206530321045
"the factors associated with occupy wall street include social and economic inequalities, increased levels of student debt, and the lack of available jobs",the factors associated with occupy wall street are wealth inequality,0.4666666622222223
"wealth inequality leads to the concentration of wealth and power in the hands of a few, while leaving many individuals and communities struggling to make ends meet",due to wealth inequality occupy wall street is caused,0.12903225394380866
yes,yes,0.999999995
no,yes,0.0
yes wealth inequality fuels the grievances of the 99% who feel unfairly denied access to the resources that would allow them to participate in the economy and enjoy a better quality of life,yes,0.06896551657550536
the occupy wall street movement was caused by a combination of frustration over economic inequality and a lack of access to basic resources and opportunities,occupy wall street is caused by wealth inequality,0.3999999960888889
"wealth inequality leads to economic disparity, which encourages some individuals and corporations to seek more illicit methods to accumulate wealth, such as tax evasion and bribery",occupy wall street,0.0
"political corruption can lead to a destabilization of a country's politics, increase the level of inequality within a society, and hinder economic growth",political corruption causes occupy wall street,0.15384615029585808
"political corruption can have numerous negative impacts, such as undermining faith in democracy, impeding economic growth, and enabling abuse of power",political corruption results in occupy wall street,0.21428571053571432
"political corruption has the effect of undermining public trust in governments and political institutions, thereby weakening democracies and the rule of law",political corruption causes occupy wall street,0.16666666291666676
"political corruption can lead to a lack of trust in government, the erosion of democracy, and the misuse of public funds",political corruption leads to occupy wall street,0.23999999596800003
"the factors associated with occupy wall street include economic inequality, corporate greed and the need for economic reform",the factors associated with occupy wall street are political corruption,0.5384615337278107
"political corruption can lead to various problems, such as misuse of power, unethical decision making, and unlawful behaviour",due to political corruption occupy wall street is caused,0.14814814370370383
no,yes,0.0
no,yes,0.0
no,yes,0.0
occupy wall street is caused by growing income inequality and the financial crisis,occupy wall street is caused by political corruption,0.5714285667120181
answer to question c) occupy wall street,occupy wall street,0.5999999958
corporate influence on government can lead to favorable policy decisions beneficial to the corporation at the expense of the public interest,corporate influence of government causes occupy wall street,0.23076922650887582
"corporate influence of government can lead to favorable policies and laws being enacted that benefit the corporation, but often comes at the cost of public interest",corporate influence of government results in occupy wall street,0.24242423845730032
"corporate influence of government can lead to unequal distribution of resources, politicians favouring certain industries or companies, and a lack of accountability and transparency",corporate influence of government causes occupy wall street,0.2758620649702735
corporate influence of government leads to increased profitability for corporations and decreased access to resources and protection for the public,corporate influence of government leads to occupy wall street,0.46153845701183444
"the factors associated with occupy wall street include economic inequality, unemployment, and the rising cost of living",the factors associated with occupy wall street are corporate influence of government,0.5714285665306124
"corporate influence on the government typically results in changes to regulations and public policies that favor the corporations, leading to increased profits",due to corporate influence of government occupy wall street is caused,0.19354838251821027
yes,yes,0.999999995
no,yes,0.0
yes,yes,0.999999995
"occupy wall street was caused by a number of underlying factors, including economic inequality, corruption, and a lack of representation",occupy wall street is caused by corporate influence of government,0.4285714239795918
corporate influence of government can cause a) digital addiction,occupy wall street,0.0
"intense or unbridled sexual desire can lead to compulsive and reckless behavior, damaging relationships, careers, and mental health",intense or unbridled sexual desire causes fornication,0.4166666625347223
"intense or unbridled sexual desire can impact a person's physical, mental, and emotional well-being",intense or unbridled sexual desire results in fornication,0.4545454499173554
"intense or unbridled sexual desire can have a powerful effect on a person, leading to impulsive actions and a focus on obtaining immediate gratification",intense or unbridled sexual desire causes fornication,0.3571428533928572
