Prediction,Labels,BleuScore
 well-struck shot causes terrorism,well-struck shot causes golf,0.3976353643835253
 well-struck shot results in pollution,well-struck shot results in golf,0.668740304976422
 well-struck shot causes prostitution,well-struck shot causes golf,0.3976353643835253
 well-struck shot leads to terrorism,well-struck shot leads to golf,0.668740304976422
 factors associated with golf are pollution,the factors associated with golf are well-struck shot,0.5444460596606694
 due to well-struck shot pollution is caused,due to well-struck shot golf is caused,0.488923022434901
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 golf is caused by pollution,golf is caused by well-struck shot,0.5475182535069453
 golf,golf,0.1778279410038923
 wealth inequality causes capitalism,wealth inequality causes occupy wall street,0.24117803988461298
 wealth inequality results in capitalism,wealth inequality results in occupy wall street,0.4482700320176827
 wealth inequality causes capitalism,wealth inequality causes occupy wall street,0.24117803988461298
 wealth inequality leads to capitalism,wealth inequality leads to occupy wall street,0.4482700320176827
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are wealth inequality,0.6548907866815301
 due to wealth inequality capitalism is caused,due to wealth inequality occupy wall street is caused,0.36741454942156665
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 occupy wall street is caused by capitalism,occupy wall street is caused by wealth inequality,0.7013967267997694
 occupy wall street,occupy wall street,0.5623413251903491
 political corruption causes bribery,political corruption causes occupy wall street,0.24117803988461298
 political corruption results in censorship,political corruption results in occupy wall street,0.4482700320176827
 political corruption causes prostitution,political corruption causes occupy wall street,0.24117803988461298
 political corruption leads to censorship,political corruption leads to occupy wall street,0.4482700320176827
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are political corruption,0.6548907866815301
 due to political corruption terrorism is caused,due to political corruption occupy wall street is caused,0.36741454942156665
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 occupy wall street is caused by capitalism,occupy wall street is caused by political corruption,0.7013967267997694
 occupy wall street,occupy wall street,0.5623413251903491
 corporate influence of government causes censorship,corporate influence of government causes occupy wall street,0.5444460596606694
 corporate influence of government results in censorship,corporate influence of government results in occupy wall street,0.6080253214198359
 corporate influence of government causes censorship,corporate influence of government causes occupy wall street,0.5444460596606694
 corporate influence of government leads to censorship,corporate influence of government leads to occupy wall street,0.6080253214198359
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are corporate influence of government,0.510029457493824
 due to corporate influence of government pollution is caused,due to corporate influence of government occupy wall street is caused,0.528993443482769
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 yes,yes,0.1778279410038923
 occupy wall street is caused by capitalism,occupy wall street is caused by corporate influence of government,0.5270837136273565
 occupy wall street,occupy wall street,0.5623413251903491
 intense or unbridled sexual desire causes prostitution,intense or unbridled sexual desire causes fornication,0.8091067115702212
 intense or unbridled sexual desire results in prostitution,intense or unbridled sexual desire results in fornication,0.8408964152537145
 intense or unbridled sexual desire causes prostitution,intense or unbridled sexual desire causes fornication,0.8091067115702212
 intense or unbridled sexual desire leads to prostitution,intense or unbridled sexual desire leads to fornication,0.8408964152537145
 factors associated with fornication are prostitution,the factors associated with fornication are intense or unbridled sexual desire,0.3302232277439296
