Prediction,Labels,BleuScore
 well-struck shot causes slavery,well-struck shot causes golf,0.744851546602881
 well-struck shot results in slavery,well-struck shot results in golf,0.7746007785621336
 well-struck shot causes slavery,well-struck shot causes golf,0.744851546602881
 well-struck shot leads to death,well-struck shot leads to golf,0.8029812000578134
 factors associated with golf are pollution,the factors associated with golf are well-struck shot,0.6469559089410365
 to well-struck shot pollution is caused,due to well-struck shot golf is caused,0.7485115503846964
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 	golf is caused by pollution,golf is caused by well-struck shot,0.5496321178148056
 golf,golf,0.668740304976422
 wealth inequality causes capitalism,wealth inequality causes occupy wall street,0.6081790571848944
 wealth inequality results in capitalism,wealth inequality results in occupy wall street,0.6436669390047964
 wealth inequality causes capitalism,wealth inequality causes occupy wall street,0.6081790571848944
 wealth inequality leads to capitalism,wealth inequality leads to occupy wall street,0.6267674991361195
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are wealth inequality,0.7283276263528525
 due to wealth inequality capitalism is caused,due to wealth inequality occupy wall street is caused,0.649846545592464
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 occupy wall street is caused by capitalism,occupy wall street is caused by wealth inequality,0.6927653786136262
 occupy wall street,occupy wall street,0.9426151476815119
 political corruption causes prostitution,political corruption causes occupy wall street,0.6378340760804609
 political corruption results in prostitution,political corruption results in occupy wall street,0.6684695498856007
 political corruption causes prostitution,political corruption causes occupy wall street,0.6378340760804609
 political corruption leads to prostitution,political corruption leads to occupy wall street,0.6538331031359331
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are political corruption,0.6978769214258099
 due to political corruption pollution is caused,due to political corruption occupy wall street is caused,0.668037757440461
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 occupy wall street is caused by capitalism,occupy wall street is caused by political corruption,0.6541557943553572
 occupy wall street,occupy wall street,0.9426151476815119
 corporate influence of government causes capitalism,corporate influence of government causes occupy wall street,0.7154358601075096
 corporate influence of government results in prostitution,corporate influence of government results in occupy wall street,0.7398590004924417
 corporate influence of government causes capitalism,corporate influence of government causes occupy wall street,0.7154358601075096
 corporate influence of government leads to capitalism,corporate influence of government leads to occupy wall street,0.7252076168890358
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are corporate influence of government,0.5526724033122044
 due to corporate influence of government pollution is caused,due to corporate influence of government occupy wall street is caused,0.7337196773131177
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 occupy wall street is caused by censorship,occupy wall street is caused by corporate influence of government,0.4916134824594375
 occupy wall street,occupy wall street,0.9426151476815119
 intense or unbridled sexual desire causes addiction,intense or unbridled sexual desire causes fornication,0.8523986454397375
 intense or unbridled sexual desire results in prostitution,intense or unbridled sexual desire results in fornication,0.8286023903489087
 intense or unbridled sexual desire causes prostitution,intense or unbridled sexual desire causes fornication,0.8156063416456342
 intense or unbridled sexual desire leads to prostitution,intense or unbridled sexual desire leads to fornication,0.8223423575726698
 factors associated with fornication are prostitution,the factors associated with fornication are intense or unbridled sexual desire,0.5028156814887373
 due to intense or unbridled sexual desire prostitution is caused,due to intense or unbridled sexual desire fornication is caused,0.8449838091708477
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 fornication is caused by prostitution,fornication is caused by intense or unbridled sexual desire,0.39982169611641594
 fornication,fornication,0.9036020036098448
 general aquaviva causes pollution,general aquaviva causes fornication,0.7509340854439939
 general aquaviva results in pollution,general aquaviva results in fornication,0.7779001851775778
 general aquaviva causes pollution,general aquaviva causes fornication,0.7509340854439939
 general aquaviva leads to prostitution,general aquaviva leads to fornication,0.7351501210955038
 factors associated with fornication are pornography,the factors associated with fornication are general aquaviva,0.6943813315437878
 due to general aquaviva pollution is caused,due to general aquaviva fornication is caused,0.8088911835084176
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 fornication is caused by pornography,fornication is caused by general aquaviva,0.6278261396997789
 fornication,fornication,0.9036020036098448
 viewing pornography causes addiction,viewing pornography causes fornication,0.790179031502607
 viewing pornography results in addiction,viewing pornography results in fornication,0.8114093168260511
 viewing pornography causes addiction,viewing pornography causes fornication,0.790179031502607
 viewing pornography leads to addiction,viewing pornography leads to fornication,0.8013637576741367
 factors associated with fornication are pornography,the factors associated with fornication are viewing pornography,0.7969149548537404
 due to viewing pornography prostitution is caused,due to viewing pornography fornication is caused,0.7962885446897197
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 fornication is caused by pornography,fornication is caused by viewing pornography,0.791333831091085
 fornication,fornication,0.9036020036098448
 global warming causes pollution,global warming causes sea level rise,0.6179445672110042
 global warming results in pollutants,global warming results in sea level rise,0.664636721218961
 global warming causes air pollution,global warming causes sea level rise,0.6360765308224298
 global warming leads to air pollution,global warming leads to sea level rise,0.6566650615869549
 factors associated with sea level rise are oil spills,the factors associated with sea level rise are global warming,0.734619167701793
 due to global warming pollutants is caused,due to global warming sea level rise is caused,0.6740212300782439
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 	sea level rise is caused by pollution,sea level rise is caused by global warming,0.686583930434467
 sea level rise,sea level rise,0.9253911813809743
 	climate change causes pollution,climate change causes sea level rise,0.6190504257327807
 climate change results in pollutants,climate change results in sea level rise,0.664636721218961
 climate change causes emissions,climate change causes sea level rise,0.6310996930831041
 climate change leads to air pollution,climate change leads to sea level rise,0.6566650615869549
 factors associated with sea level rise are pollution,the factors associated with sea level rise are climate change,0.725148541054228
 due to climate change pollutants is caused,due to climate change sea level rise is caused,0.6740212300782439
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 sea level rise is caused by pollutants,sea level rise is caused by climate change,0.6877030603591611
 sea level rise,sea level rise,0.9253911813809743
 ice loss causes global warming,ice loss causes sea level rise,0.5457202346714655
 ice loss results in melting,ice loss results in sea level rise,0.5967862036373476
 ice loss causes global warming,ice loss causes sea level rise,0.5457202346714655
 ice loss leads to global warming,ice loss leads to sea level rise,0.5758630620330117
 factors associated with sea level rise are oil spills,the factors associated with sea level rise are ice loss,0.8203791686161573
 due to ice loss arctic sea ice is caused,due to ice loss sea level rise is caused,0.7018131668057968
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 yes,yes,0.6299605249474366
 sea level rise is caused by pollution,sea level rise is caused by ice loss,0.750356775304313
 sea level rise,sea level rise,0.9253911813809743
 complete loss of ice on greenland causes melting,complete loss of ice on greenland causes sea level rise,0.7576331618601276
 complete loss of ice on greenland results in slavery,complete loss of ice on greenland results in sea level rise,0.7999269255324106
 complete loss of ice on greenland causes melting,complete loss of ice on greenland causes sea level rise,0.7576331618601276
 complete loss of ice on greenland leads to global warming,complete loss of ice on greenland leads to sea level rise,0.7671091898476339
 factors associated with sea level rise are oil spills,the factors associated with sea level rise are complete loss of ice on greenland,0.5300656687179349
 due to complete loss of ice on greenland pollution is caused,due to complete loss of ice on greenland sea level rise is caused,0.7692166674136222
