Prediction,Labels,BertScore
     well-struck shot causes slavery,well-struck shot causes golf,tensor([0.6858])
     well-struck shot results in terrorism,well-struck shot results in golf,tensor([0.5748])
     well-struck shot causes slavery,well-struck shot causes golf,tensor([0.6858])
     well-struck shot leads to terrorism,well-struck shot leads to golf,tensor([0.6517])
     factors associated with golf are pollution,The factors associated with golf are well-struck shot,tensor([0.5486])
     due to well-struck shot terrorism is caused,Due to well-struck shot golf is caused,tensor([0.6731])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
     yes  ,Yes,tensor([0.9760])
f is caused by pollution    ,golf is caused by well-struck shot,tensor([0.6162])
     golf    ,golf,tensor([1.])
     wealth inequality causes terrorism,wealth inequality causes occupy wall street,tensor([0.6635])
     wealth inequality results in terrorism,wealth inequality results in occupy wall street,tensor([0.7249])
     wealth inequality causes terrorism,wealth inequality causes occupy wall street,tensor([0.6635])
     wealth inequality leads to terrorism,wealth inequality leads to occupy wall street,tensor([0.6927])
     factors associated with occupy wall street include capitalism,The factors associated with occupy wall street are wealth inequality,tensor([0.6731])
     due to wealth inequality capitalism is caused,Due to wealth inequality occupy wall street is caused,tensor([0.7588])
     yes              ,Yes,tensor([0.9760])
     yes              ,Yes,tensor([0.9760])
     yes                                  ,Yes,tensor([0.9760])
     occupy wall street is caused by capitalism  ,occupy wall street is caused by wealth inequality,tensor([0.8738])
     occupy wall street,occupy wall street,tensor([1.])
     political corruption causes prostitution    ,political corruption causes occupy wall street,tensor([0.6152])
     political corruption results in prostitution    ,political corruption results in occupy wall street,tensor([0.6426])
     political corruption causes prostitution  ,political corruption causes occupy wall street,tensor([0.6152])
     political corruption leads to censorship,political corruption leads to occupy wall street,tensor([0.6812])
     factors associated with occupy wall street include capitalism,The factors associated with occupy wall street are political corruption,tensor([0.7141])
     due to political corruption terrorism is caused,Due to political corruption occupy wall street is caused,tensor([0.7535])
     yes                ,Yes,tensor([0.9760])
     yes                ,Yes,tensor([0.9760])
     yes                  ,Yes,tensor([0.9760])
     occupy wall street is caused by censorship,occupy wall street is caused by political corruption,tensor([0.8733])
     occupy wall street,occupy wall street,tensor([1.])
     corporate influence of government causes censorship,corporate influence of government causes occupy wall street,tensor([0.7134])
     corporate influence of government results in prostitution  ,corporate influence of government results in occupy wall street,tensor([0.7640])
