Prediction,Labels,BertScore
     well-struck shot causes slavery,well-struck shot causes golf,0.685
     well-struck shot results in terrorism,well-struck shot results in golf,0.574
     well-struck shot causes slavery,well-struck shot causes golf,0.685
     well-struck shot leads to terrorism,well-struck shot leads to golf,0.651
     factors associated with golf are pollution,The factors associated with golf are well-struck shot,0.548
     due to well-struck shot terrorism is caused,Due to well-struck shot golf is caused,0.673
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
f is caused by pollution    ,golf is caused by well-struck shot,0.616
     golf    ,golf,1.
     wealth inequality causes terrorism,wealth inequality causes occupy wall street,0.663
     wealth inequality results in terrorism,wealth inequality results in occupy wall street,0.724
     wealth inequality causes terrorism,wealth inequality causes occupy wall street,0.663
     wealth inequality leads to terrorism,wealth inequality leads to occupy wall street,0.692
     factors associated with occupy wall street include capitalism,The factors associated with occupy wall street are wealth inequality,0.673
     due to wealth inequality capitalism is caused,Due to wealth inequality occupy wall street is caused,0.758
     yes              ,Yes,0.976
     yes              ,Yes,0.976
     yes                                  ,Yes,0.976
     occupy wall street is caused by capitalism  ,occupy wall street is caused by wealth inequality,0.873
     occupy wall street,occupy wall street,1.
     political corruption causes prostitution    ,political corruption causes occupy wall street,0.615
     political corruption results in prostitution    ,political corruption results in occupy wall street,0.642
     political corruption causes prostitution  ,political corruption causes occupy wall street,0.615
     political corruption leads to censorship,political corruption leads to occupy wall street,0.681
     factors associated with occupy wall street include capitalism,The factors associated with occupy wall street are political corruption,0.714
     due to political corruption terrorism is caused,Due to political corruption occupy wall street is caused,0.753
     yes                ,Yes,0.976
     yes                ,Yes,0.976
     yes                  ,Yes,0.976
     occupy wall street is caused by censorship,occupy wall street is caused by political corruption,0.873
     occupy wall street,occupy wall street,1.
     corporate influence of government causes censorship,corporate influence of government causes occupy wall street,0.713
     corporate influence of government results in prostitution  ,corporate influence of government results in occupy wall street,0.764
     corporate influence of government causes fascism  ,corporate influence of government causes occupy wall street,0.735
     corporate influence of government leads to censorship,corporate influence of government leads to occupy wall street,0.750
     factors associated with occupy wall street include capitalism,The factors associated with occupy wall street are corporate influence of government,0.728
     due to corporate influence of government pollution is caused  ,Due to corporate influence of government occupy wall street is caused,0.716
     yes                    ,Yes,0.976
     yes                        ,Yes,0.976
     yes  ,Yes,0.976
     occupy wall street is caused by capitalism  ,occupy wall street is caused by corporate influence of government,0.875
     occupy wall street,occupy wall street,1.
     intense or unbridled sexual desire causes prostitution  ,intense or unbridled sexual desire causes fornication,0.933
     intense or unbridled sexual desire results in prostitution  ,intense or unbridled sexual desire results in fornication,0.918
     intense or unbridled sexual desire causes prostitution  ,intense or unbridled sexual desire causes fornication,0.933
     intense or unbridled sexual desire leads to prostitution  ,intense or unbridled sexual desire leads to fornication,0.934
     factors associated with fornication are prostitution  ,The factors associated with fornication are intense or unbridled sexual desire,0.746
     due to intense or unbridled sexual desire prostitution is caused  ,Due to intense or unbridled sexual desire fornication is caused,0.904
     yes  ,Yes,0.976
     yes                        ,Yes,0.976
     yes                          ,Yes,0.976
     fornication is caused by prostitution  ,fornication is caused by intense or unbridled sexual desire,0.725
     fornication,fornication,1.000
     general aquaviva causes slavery  ,general aquaviva causes fornication,0.824
     general aquaviva results in terrorism  ,general aquaviva results in fornication,0.803
     general aquaviva causes slavery  ,general aquaviva causes fornication,0.824
     general aquaviva leads to prostitution  ,general aquaviva leads to fornication,0.867
     factors associated with fornication are prostitution  ,The factors associated with fornication are general aquaviva,0.697
     due to general aquaviva slavery is caused,Due to general aquaviva fornication is caused,0.794
     yes                                                ,Yes,0.976
     yes  ,Yes,0.976
     yes                  ,Yes,0.976
     fornication is caused by prostitution  ,fornication is caused by general aquaviva,0.673
     fornication,fornication,1.000
     viewing pornography causes prostitution  ,viewing pornography causes fornication,0.891
     viewing pornography results in prostitution  ,viewing pornography results in fornication,0.890
     viewing pornography causes prostitution  ,viewing pornography causes fornication,0.891
     viewing pornography leads to prostitution  ,viewing pornography leads to fornication,0.893
     factors associated with fornication are pornography,The factors associated with fornication are viewing pornography,0.797
     due to viewing pornography prostitution is caused  ,Due to viewing pornography fornication is caused,0.885
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     fornication is caused by pornography,fornication is caused by viewing pornography,0.959
     fornication,fornication,1.000
     global warming causes pollution    ,global warming causes sea level rise,0.716
     global warming results in pollution      ,global warming results in sea level rise,0.758
     global warming causes emissions  ,global warming causes sea level rise,0.744
     global warming leads to emissions  ,global warming leads to sea level rise,0.755
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are global warming,0.791
     due to global warming pollution is caused    ,Due to global warming sea level rise is caused,0.718
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by global warming,0.835
     sea level rise    ,sea level rise,1.
     climate change causes pollution    ,climate change causes sea level rise,0.712
     climate change results in energy consumption  ,climate change results in sea level rise,0.654
     climate change causes pollution  ,climate change causes sea level rise,0.712
     climate change leads to emissions    ,climate change leads to sea level rise,0.779
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are climate change,0.787
     due to climate change pollution is caused    ,Due to climate change sea level rise is caused,0.733
     yes  ,Yes,0.976
     yes    ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by climate change,0.823
     sea level rise    ,sea level rise,1.
     ice loss causes global warming      ,ice loss causes sea level rise,0.723
     ice loss results in warming          ,ice loss results in sea level rise,0.815
     ice loss causes global warming      ,ice loss causes sea level rise,0.723
     ice loss leads to melting        ,ice loss leads to sea level rise,0.761
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are ice loss,0.806
     due to ice loss pollution is caused    ,Due to ice loss sea level rise is caused,0.790
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by ice loss,0.839
     sea level rise    ,sea level rise,1.
     complete loss of ice on greenland causes warming    ,complete loss of ice on greenland causes sea level rise,0.911
     complete loss of ice on greenland results in pollution    ,complete loss of ice on greenland results in sea level rise,0.872
     complete loss of ice on greenland causes warming    ,complete loss of ice on greenland causes sea level rise,0.911
     complete loss of ice on greenland leads to global warming  ,complete loss of ice on greenland leads to sea level rise,0.864
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are complete loss of ice on greenland,0.725
     due to complete loss of ice on greenland pollution is caused          ,Due to complete loss of ice on greenland sea level rise is caused,0.804
     yes  ,Yes,0.976
     yes                        ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by complete loss of ice on greenland,0.779
     sea level rise                                                                                                      ,sea level rise,1.
     onset of anoxic deposits causes pollution  ,onset of anoxic deposits causes sea level rise,0.825
     onset of anoxic deposits results in pollution      ,onset of anoxic deposits results in sea level rise,0.837
     onset of anoxic deposits causes pollution        ,onset of anoxic deposits causes sea level rise,0.825
     onset of anoxic deposits leads to pollution  ,onset of anoxic deposits leads to sea level rise,0.834
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are onset of anoxic deposits,0.763
     due to onset of anoxic deposits pollution is caused    ,Due to onset of anoxic deposits sea level rise is caused,0.860
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollutants  ,sea level rise is caused by onset of anoxic deposits,0.804
     sea level rise    ,sea level rise,1.
     altered hydrogeological cycles causes pollution  ,altered hydrogeological cycles causes sea level rise,0.852
     altered hydrogeological cycles results in pollution  ,altered hydrogeological cycles results in sea level rise,0.841
     altered hydrogeological cycles causes pollution  ,altered hydrogeological cycles causes sea level rise,0.852
     altered hydrogeological cycles leads to pollution  ,altered hydrogeological cycles leads to sea level rise,0.848
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are altered hydrogeological cycles,0.745
     due to altered hydrogeological cycles pollution is caused    ,Due to altered hydrogeological cycles sea level rise is caused,0.879
     yes  ,Yes,0.976
     yes                    ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by altered hydrogeological cycles,0.827
     sea level rise    ,sea level rise,1.
     anthropogenic forces causes pollution  ,anthropogenic forces causes sea level rise,0.778
     anthropogenic forces results in pollution  ,anthropogenic forces results in sea level rise,0.774
     anthropogenic forces causes pollution  ,anthropogenic forces causes sea level rise,0.778
     anthropogenic forces leads to pollution  ,anthropogenic forces leads to sea level rise,0.787
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are anthropogenic forces,0.704
     due to anthropogenic forces pollution is caused    ,Due to anthropogenic forces sea level rise is caused,0.807
     yes  ,Yes,0.976
     yes                  ,Yes,0.976
     yes                    ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by anthropogenic forces,0.838
     sea level rise      ,sea level rise,1.
     displacement of water from the ocean basins causes pollution    ,displacement of water from the ocean basins causes sea level rise,0.861
     displacement of water from the ocean basins results in pollution    ,displacement of water from the ocean basins results in sea level rise,0.853
     displacement of water from the ocean basins causes pollution    ,displacement of water from the ocean basins causes sea level rise,0.861
     displacement of water from the ocean basins leads to pollution    ,displacement of water from the ocean basins leads to sea level rise,0.861
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are displacement of water from the ocean basins,0.764
     due to displacement of water from the ocean basins pollution is caused    ,Due to displacement of water from the ocean basins sea level rise is caused,0.910
     yes  ,Yes,0.976
     yes                          ,Yes,0.976
     yes                            ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by displacement of water from the ocean basins,0.785
     sea level rise                    ,sea level rise,1.
     meltwater pulse 1a causes sea level rise  ,meltwater pulse 1a causes sea level rise,1.000
     meltwater pulse 1a results in sea level rise  ,meltwater pulse 1a results in sea level rise,1.000
     meltwater pulse 1a causes sea level rise,meltwater pulse 1a causes sea level rise,1.000
     meltwater pulse 1a leads to sea level rise,meltwater pulse 1a leads to sea level rise,1.
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are meltwater pulse 1a,0.688
     due to meltwater pulse 1a pollution is caused  ,Due to meltwater pulse 1a sea level rise is caused,0.833
     yes  ,Yes,0.976
     yes                        ,Yes,0.976
     yes                          ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by meltwater pulse 1a,0.794
     sea level rise    ,sea level rise,1.
     sinking of the lands surface causes pollution    ,sinking of the lands surface causes sea level rise,0.818
     sinking of the lands surface results in pollution  ,sinking of the lands surface results in sea level rise,0.815
     sinking of the lands surface causes pollution  ,sinking of the lands surface causes sea level rise,0.818
     sinking of the lands surface leads to pollution  ,sinking of the lands surface leads to sea level rise,0.831
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are sinking of the lands surface,0.733
     due to sinking of the lands surface pollution is caused    ,Due to sinking of the lands surface sea level rise is caused,0.774
     yes  ,Yes,0.976
     yes                    ,Yes,0.976
     yes                      ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by sinking of the lands surface,0.746
     sea level rise    ,sea level rise,1.
     medieval warm period causes pollution        ,medieval warm period causes sea level rise,0.807
     medieval warm period results in rise in sea levels    ,medieval warm period results in sea level rise,0.879
     medieval warm period causes pollution          ,medieval warm period causes sea level rise,0.807
     medieval warm period leads to pollution      ,medieval warm period leads to sea level rise,0.818
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are medieval warm period,0.731
     due to medieval warm period climate change is caused        ,Due to medieval warm period sea level rise is caused,0.856
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes                ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by medieval warm period,0.787
     sea level rise    ,sea level rise,1.
     climatological effects of human influences causes pollution  ,climatological effects of human influences causes sea level rise,0.882
     climatological effects of human influences results in pollution  ,climatological effects of human influences results in sea level rise,0.888
     climatological effects of human influences causes pollution  ,climatological effects of human influences causes sea level rise,0.882
     climatological effects of human influences leads to pollution  ,climatological effects of human influences leads to sea level rise,0.880
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are climatological effects of human influences,0.701
     due to climatological effects of human influences pollution is caused    ,Due to climatological effects of human influences sea level rise is caused,0.779
     yes  ,Yes,0.976
     yes    ,Yes,0.976
     yes                          ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by climatological effects of human influences,0.819
     sea level rise    ,sea level rise,1.
     expansion of water causes pollution    ,expansion of water causes sea level rise,0.711
     expansion of water results in pollution    ,expansion of water results in sea level rise,0.741
     expansion of water causes pollution,expansion of water causes sea level rise,0.711
     expansion of water leads to pollution    ,expansion of water leads to sea level rise,0.745
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are expansion of water,0.779
     due to expansion of water slavery is caused,Due to expansion of water sea level rise is caused,0.653
     yes    ,Yes,0.976
     yes              ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by expansion of water,0.766
     sea level rise    ,sea level rise,1.
     isostatic uplift causes sea level rise  ,isostatic uplift causes sea level rise,1.
     isostatic uplift results in pollution        ,isostatic uplift results in sea level rise,0.825
static uplift causes sea level rise,isostatic uplift causes sea level rise,0.841
     isostatic uplift leads to pollution  ,isostatic uplift leads to sea level rise,0.836
     factors associated with sea level rise are pollution  ,The factors associated with sea level rise are isostatic uplift,0.786
     due to isostatic uplift pollution is caused        ,Due to isostatic uplift sea level rise is caused,0.713
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     sea level rise is caused by pollution    ,sea level rise is caused by isostatic uplift,0.796
     sea level rise    ,sea level rise,1.
     depression causes suicide  ,depression causes petrol,0.468
     depression results in prostitution  ,depression results in petrol,0.683
     depression causes suicide,depression causes petrol,0.468
     depression leads to prostitution,depression leads to petrol,0.715
     factors associated with petrol are pollution,The factors associated with petrol are depression,0.554
     due to depression terrorism is caused  ,Due to depression petrol is caused,0.763
     yes  ,Yes,0.976
     yes          ,Yes,0.976
     yes            ,Yes,0.976
     petrol is caused by pollution,petrol is caused by depression,0.713
     petrol,petrol,1.000
     poverty causes prostitution,poverty causes crime,0.785
     poverty results in terrorism,poverty results in crime,0.808
     poverty causes prostitution,poverty causes crime,0.785
     poverty leads to terrorism,poverty leads to crime,0.815
     factors associated with crime are prostitution  ,The factors associated with crime are poverty,0.730
     due to poverty terrorism is caused,Due to poverty crime is caused,0.888
     yes        ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by poverty,0.823
     crime    ,crime,1.000
     drugs causes crime  ,drugs causes crime,1.
     drugs results in crime  ,drugs results in crime,1.000
     drugs causes crime  ,drugs causes crime,1.
     drugs leads to crime  ,drugs leads to crime,1.000
     factors associated with crime are prostitution  ,The factors associated with crime are drugs,0.739
     due to drugs crime is caused  ,Due to drugs crime is caused,0.985
     yes        ,Yes,0.976
     yes          ,Yes,0.976
     yes          ,Yes,0.976
     crime is caused by pornography  ,crime is caused by drugs,0.839
     crime    ,crime,1.000
     unemployment causes pollution,unemployment causes crime,0.751
     unemployment results in pollution,unemployment results in crime,0.756
     unemployment causes pollution,unemployment causes crime,0.751
     unemployment leads to pollution,unemployment leads to crime,0.769
     factors associated with crime are prostitution  ,The factors associated with crime are unemployment,0.723
     due to unemployment terrorism is caused,Due to unemployment crime is caused,0.859
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by unemployment,0.824
     crime    ,crime,1.000
     alcohol causes crime  ,alcohol causes crime,1.000
     alcohol results in crime  ,alcohol results in crime,1.000
     alcohol causes crime  ,alcohol causes crime,1.000
     alcohol leads to crime  ,alcohol leads to crime,1.
     factors associated with crime are prostitution  ,The factors associated with crime are alcohol,0.745
     due to alcohol prostitution is caused  ,Due to alcohol crime is caused,0.814
     yes        ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by alcohol,0.831
     crime    ,crime,1.000
     inequality causes prostitution,inequality causes crime,0.797
     inequality results in terrorism,inequality results in crime,0.803
     inequality causes prostitution,inequality causes crime,0.797
     inequality leads to terrorism,inequality leads to crime,0.822
     factors associated with crime are prostitution  ,The factors associated with crime are inequality,0.697
     due to inequality terrorism is caused,Due to inequality crime is caused,0.857
     yes  ,Yes,0.976
     crime,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by inequality,0.736
     crime    ,crime,1.000
     crime causes terrorism    ,crime causes crime,0.777
     crime results in terrorism,crime results in crime,0.793
     crime causes terrorism,crime causes crime,0.777
     crime leads to terrorism,crime leads to crime,0.809
     factors associated with crime are prostitution  ,The factors associated with crime are crime,0.614
     due to crime terrorism is caused,Due to crime crime is caused,0.801
     yes  ,Yes,0.976
     yes        ,Yes,0.976
     yes          ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by crime,0.859
     crime    ,crime,1.000
     prohibition causes prostitution  ,prohibition causes crime,0.792
     prohibition results in crime    ,prohibition results in crime,1.
     prohibition causes crime    ,prohibition causes crime,1.
     prohibition leads to prostitution  ,prohibition leads to crime,0.777
     factors associated with crime are prostitution  ,The factors associated with crime are prohibition,0.622
     due to prohibition prostitution is caused  ,Due to prohibition crime is caused,0.788
     yes        ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by prohibition,0.777
     crime    ,crime,1.000
     disorder causes crime  ,disorder causes crime,1.000
     disorder results in terrorism  ,disorder results in crime,0.812
     disorder causes terrorism,disorder causes crime,0.783
     disorder leads to terrorism  ,disorder leads to crime,0.807
     factors associated with crime are prostitution  ,The factors associated with crime are disorder,0.582
     due to disorder pollution is caused,Due to disorder crime is caused,0.682
     yes      ,Yes,0.976
     crime        ,Yes,0.992
     yes          ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by disorder,0.729
     crime    ,crime,1.000
     conditions causes terrorism    ,conditions causes crime,0.784
     conditions results in pollution    ,conditions results in crime,0.735
     conditions causes terrorism    ,conditions causes crime,0.784
     conditions leads to prostitution    ,conditions leads to crime,0.766
     factors associated with crime are prostitution  ,The factors associated with crime are conditions,0.607
     due to conditions prostitution is caused    ,Due to conditions crime is caused,0.762
     yes    ,Yes,0.976
     crime  ,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by conditions,0.660
     crime    ,crime,1.000
     problems causes prostitution    ,problems causes crime,0.795
     problems results in terrorism  ,problems results in crime,0.812
     problems causes prostitution  ,problems causes crime,0.795
     problems leads to terrorism  ,problems leads to crime,0.823
     factors associated with crime are prostitution  ,The factors associated with crime are problems,0.562
     due to problems pollution is caused,Due to problems crime is caused,0.815
     yes  ,Yes,0.976
     yes      ,Yes,0.976
     yes        ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by problems,0.730
     crime    ,crime,1.000
     lack of jobs causes terrorism  ,lack of jobs causes crime,0.894
     lack of jobs results in terrorism  ,lack of jobs results in crime,0.897
     lack of jobs causes terrorism  ,lack of jobs causes crime,0.894
     lack of jobs leads to terrorism  ,lack of jobs leads to crime,0.904
     factors associated with crime are prostitution  ,The factors associated with crime are lack of jobs,0.669
     due to lack of jobs terrorism is caused  ,Due to lack of jobs crime is caused,0.907
     yes          ,Yes,0.976
     yes            ,Yes,0.976
     yes            ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by lack of jobs,0.724
     crime    ,crime,1.000
     immigration causes terrorism    ,immigration causes crime,0.787
     immigration results in terrorism,immigration results in crime,0.804
     immigration causes crime  ,immigration causes crime,1.000
     immigration leads to terrorism,immigration leads to crime,0.807
     factors associated with crime are prostitution  ,The factors associated with crime are immigration,0.748
     due to immigration terrorism is caused,Due to immigration crime is caused,0.830
     yes      ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by immigration,0.813
     crime    ,crime,1.000
     oppression causes terrorism,oppression causes crime,0.788
     oppression results in terrorism,oppression results in crime,0.815
     oppression causes terrorism,oppression causes crime,0.788
     oppression leads to terrorism,oppression leads to crime,0.814
     factors associated with crime are prostitution  ,The factors associated with crime are oppression,0.693
     due to oppression terrorism is caused  ,Due to oppression crime is caused,0.820
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
