Prediction,Labels,RougeScore
 well-struck shot causes terrorism,well-struck shot causes golf,0.6666666616666668
 well-struck shot results in pollution,well-struck shot results in golf,0.749999995
 well-struck shot causes prostitution,well-struck shot causes golf,0.6666666616666668
 well-struck shot leads to terrorism,well-struck shot leads to golf,0.749999995
 factors associated with golf are pollution,the factors associated with golf are well-struck shot,0.6666666618055556
 due to well-struck shot pollution is caused,due to well-struck shot golf is caused,0.6666666616666668
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 golf is caused by pollution,golf is caused by well-struck shot,0.6666666617283951
 golf,golf,0.0
 wealth inequality causes capitalism,wealth inequality causes occupy wall street,0.49999999531250006
 wealth inequality results in capitalism,wealth inequality results in occupy wall street,0.5999999952
 wealth inequality causes capitalism,wealth inequality causes occupy wall street,0.49999999531250006
 wealth inequality leads to capitalism,wealth inequality leads to occupy wall street,0.5999999952
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are wealth inequality,0.7499999950781251
 due to wealth inequality capitalism is caused,due to wealth inequality occupy wall street is caused,0.5714285665306124
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 occupy wall street is caused by capitalism,occupy wall street is caused by wealth inequality,0.7692307642603551
 occupy wall street,occupy wall street,0.999999995
 political corruption causes bribery,political corruption causes occupy wall street,0.49999999531250006
 political corruption results in censorship,political corruption results in occupy wall street,0.5999999952
 political corruption causes prostitution,political corruption causes occupy wall street,0.49999999531250006
 political corruption leads to censorship,political corruption leads to occupy wall street,0.5999999952
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are political corruption,0.7499999950781251
 due to political corruption terrorism is caused,due to political corruption occupy wall street is caused,0.5714285665306124
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 occupy wall street is caused by capitalism,occupy wall street is caused by political corruption,0.7692307642603551
 occupy wall street,occupy wall street,0.999999995
 corporate influence of government causes censorship,corporate influence of government causes occupy wall street,0.6666666618055556
 corporate influence of government results in censorship,corporate influence of government results in occupy wall street,0.7142857093877552
 corporate influence of government causes censorship,corporate influence of government causes occupy wall street,0.6666666618055556
 corporate influence of government leads to censorship,corporate influence of government leads to occupy wall street,0.7142857093877552
 factors associated with occupy wall street are capitalism,the factors associated with occupy wall street are corporate influence of government,0.6666666619135801
 due to corporate influence of government pollution is caused,due to corporate influence of government occupy wall street is caused,0.6666666617283951
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 occupy wall street is caused by capitalism,occupy wall street is caused by corporate influence of government,0.6666666618666668
 occupy wall street,occupy wall street,0.999999995
 intense or unbridled sexual desire causes prostitution,intense or unbridled sexual desire causes fornication,0.8333333283333335
 intense or unbridled sexual desire results in prostitution,intense or unbridled sexual desire results in fornication,0.8571428521428571
 intense or unbridled sexual desire causes prostitution,intense or unbridled sexual desire causes fornication,0.8333333283333335
 intense or unbridled sexual desire leads to prostitution,intense or unbridled sexual desire leads to fornication,0.8571428521428571
 factors associated with fornication are prostitution,the factors associated with fornication are intense or unbridled sexual desire,0.533333328888889
 due to intense or unbridled sexual desire prostitution is caused,due to intense or unbridled sexual desire fornication is caused,0.7777777727777778
 yes,yes,0.0
 intense or unbridled sexual desire leads to fornication,yes,0.0
 yes,yes,0.0
 fornication is caused by prostitution,fornication is caused by intense or unbridled sexual desire,0.49999999555555563
nication,fornication,0.0
 general aquaviva causes censorship,general aquaviva causes fornication,0.6666666616666668
 general aquaviva results in slavery,general aquaviva results in fornication,0.749999995
 general aquaviva causes censorship,general aquaviva causes fornication,0.6666666616666668
 general aquaviva leads to censorship,general aquaviva leads to fornication,0.749999995
 factors associated with fornication are prostitution,the factors associated with fornication are general aquaviva,0.6666666618055556
 due to general aquaviva slavery is caused,due to general aquaviva fornication is caused,0.6666666616666668
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 fornication is caused by prostitution,fornication is caused by general aquaviva,0.6666666617283951
nication,fornication,0.0
 viewing pornography causes prostitution,viewing pornography causes fornication,0.6666666616666668
 viewing pornography results in prostitution,viewing pornography results in fornication,0.749999995
 viewing pornography causes prostitution,viewing pornography causes fornication,0.6666666616666668
 viewing pornography leads to prostitution,viewing pornography leads to fornication,0.749999995
 factors associated with fornication are prostitution,the factors associated with fornication are viewing pornography,0.6666666618055556
 due to viewing pornography censorship is caused,due to viewing pornography fornication is caused,0.6666666616666668
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 fornication is caused by prostitution,fornication is caused by viewing pornography,0.6666666617283951
nication,fornication,0.0
 global warming causes pollution,global warming causes sea level rise,0.49999999531250006
 global warming results in pollution,global warming results in sea level rise,0.5999999952
 global warming causes pollution,global warming causes sea level rise,0.49999999531250006
 global warming leads to pollution,global warming leads to sea level rise,0.5999999952
 factors associated with sea level rise are pollution,the factors associated with sea level rise are global warming,0.7499999950781251
 due to global warming pollution is caused,due to global warming sea level rise is caused,0.5714285665306124
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 sea level rise is caused by pollution,sea level rise is caused by global warming,0.7692307642603551
 sea level rise,sea level rise,0.999999995
 climate change causes pollution,climate change causes sea level rise,0.49999999531250006
 climate change results in pollution,climate change results in sea level rise,0.5999999952
 climate change causes pollution,climate change causes sea level rise,0.49999999531250006
 climate change leads to pollution,climate change leads to sea level rise,0.5999999952
 factors associated with sea level rise are pollution,the factors associated with sea level rise are climate change,0.7499999950781251
 due to climate change pollution is caused,due to climate change sea level rise is caused,0.5714285665306124
 yes,yes,0.0
 yes,yes,0.0
 yes,yes,0.0
 sea level rise is caused by pollution,sea level rise is caused by climate change,0.7692307642603551
 sea level rise,sea level rise,0.999999995
